Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.95,0,pff_dt,50
proxy_0.95,0.55,pff_dt,45
proxy_0.95,0.55,V201156,4
proxy_0.95,0.55,immigrant_deport,1
proxy_0.95,0.56,pff_dt,45
proxy_0.95,0.56,V201155,3
proxy_0.95,0.56,V201156,1
proxy_0.95,0.56,immigrant_citizenship,1
proxy_0.95,0.57,pff_dt,46
proxy_0.95,0.57,V201156,3
proxy_0.95,0.57,immigrant_citizenship,1
proxy_0.95,0.58,pff_dt,44
proxy_0.95,0.58,V201156,6
proxy_0.95,0.59,pff_dt,43
proxy_0.95,0.59,V201156,7
proxy_0.95,0.60,pff_dt,39
proxy_0.95,0.60,V201156,10
proxy_0.95,0.60,V201155,1
proxy_0.95,0.61,pff_dt,36
proxy_0.95,0.61,V201155,2
proxy_0.95,0.61,V201156,8
proxy_0.95,0.61,immigrant_citizenship,1
proxy_0.95,0.61,Abortion,1
proxy_0.95,0.62,pff_dt,37
proxy_0.95,0.62,immigrant_citizenship,2
proxy_0.95,0.62,V201156,10
proxy_0.95,0.62,V201155,1
proxy_0.95,0.63,pff_dt,41
proxy_0.95,0.63,V201156,18
proxy_0.95,0.63,immigrant_citizenship,1
proxy_0.95,0.64,immigrant_citizenship,2
proxy_0.95,0.64,pff_dt,33
proxy_0.95,0.64,V201156,16
proxy_0.95,0.64,V201155,1
proxy_0.95,0.65,pff_dt,27
proxy_0.95,0.65,V201156,21
proxy_0.95,0.65,V201208,1
proxy_0.95,0.65,V201155,1
proxy_0.95,0.66,pff_dt,20
proxy_0.95,0.66,V201206,1
proxy_0.95,0.66,immigrant_citizenship,3
proxy_0.95,0.66,V201250,1
proxy_0.95,0.66,V201155,1
proxy_0.95,0.66,V201215,1
proxy_0.95,0.66,V201156,23
proxy_0.95,0.67,V201156,33
proxy_0.95,0.67,pff_dt,11
proxy_0.95,0.67,V201153,1
proxy_0.95,0.67,V201206,1
proxy_0.95,0.67,V201155,1
proxy_0.95,0.67,immigrant_citizenship,1
proxy_0.95,0.68,V201156,29
proxy_0.95,0.68,White,1
proxy_0.95,0.68,pff_dt,17
proxy_0.95,0.68,immigrant_citizenship,1
proxy_0.95,0.68,V201155,1
proxy_0.95,0.68,V201206,1
proxy_0.95,0.69,pff_dt,9
proxy_0.95,0.69,V201156,35
proxy_0.95,0.69,V201209,2
proxy_0.95,0.69,V201208,3
proxy_0.95,0.69,V201250,1
proxy_0.95,0.70,V201250,1
proxy_0.95,0.70,pff_dt,6
proxy_0.95,0.70,V201156,32
proxy_0.95,0.70,V201208,2
proxy_0.95,0.70,V201155,1
proxy_0.95,0.70,V201250,2
proxy_0.95,0.70,V201209,1
proxy_0.95,0.71,V201156,34
proxy_0.95,0.71,V201250,1
proxy_0.95,0.71,pff_dt,5
proxy_0.95,0.71,V201208,3
proxy_0.95,0.71,V201250,5
proxy_0.95,0.71,V201209,1
proxy_0.95,0.72,V201209,1
proxy_0.95,0.72,V201206,1
proxy_0.95,0.72,V201250,7
proxy_0.95,0.72,V201208,7
proxy_0.95,0.72,V201156,28
proxy_0.95,0.72,pff_dt,3
proxy_0.95,0.73,V201340,1
proxy_0.95,0.73,V201250,15
proxy_0.95,0.73,V201156,22
proxy_0.95,0.73,V201206,4
proxy_0.95,0.73,V201160,2
proxy_0.95,0.73,V201208,3
,,,
proxy_0.95,0.73,V201210,1
proxy_0.95,0.73,V201565x,1
proxy_0.95,0.73,white,1
proxy_0.95,0.74,V201250,16
,,,
proxy_0.95,0.74,V201206,6
proxy_0.95,0.74,V201208,10
proxy_0.95,0.74,V201156,11
proxy_0.95,0.74,V201307,1
proxy_0.95,0.74,V201160,2
proxy_0.95,0.74,white,1
proxy_0.95,0.74,V201228,1
proxy_0.95,0.74,V201634e,1
proxy_0.95,0.74,V201634m,1
