Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.95,0.0,pff_dt,44
proxy_0.95,0.0,immigrant_citizenship,6
proxy_0.95,0.55,pff_dt,35
proxy_0.95,0.55,immigrant_citizenship,14
proxy_0.95,0.55,pff_jb,1
proxy_0.95,0.56,pff_dt,29
proxy_0.95,0.56,ideo7,1
proxy_0.95,0.56,immigrant_citizenship,18
proxy_0.95,0.56,abortion,1
proxy_0.95,0.56,V201241,1
proxy_0.95,0.57,pff_dt,34
proxy_0.95,0.57,immigrant_citizenship,11
proxy_0.95,0.57,V201141x,1
proxy_0.95,0.57,V201241,1
proxy_0.95,0.57,auth_grid_1,1
proxy_0.95,0.57,abortion,2
proxy_0.95,0.58,immigrant_citizenship,8
proxy_0.95,0.58,pff_dt,37
proxy_0.95,0.58,auth_grid_2,1
proxy_0.95,0.58,V201239,1
proxy_0.95,0.58,ideo7,1
proxy_0.95,0.58,abortion,1
proxy_0.95,0.58,V201141x,1
proxy_0.95,0.59,pff_dt,34
proxy_0.95,0.59,immigrant_citizenship,11
proxy_0.95,0.59,V201141x,2
proxy_0.95,0.59,abortion,3
proxy_0.95,0.6,immigrant_citizenship,13
proxy_0.95,0.6,pff_dt,33
proxy_0.95,0.6,V201141x,1
proxy_0.95,0.6,abortion,3
proxy_0.95,0.61,pff_dt,32
proxy_0.95,0.61,immigrant_citizenship,13
proxy_0.95,0.61,auth_grid_1,1
proxy_0.95,0.61,V201141x,2
proxy_0.95,0.61,abortion,2
proxy_0.95,0.62,pff_dt,33
proxy_0.95,0.62,immigrant_citizenship,12
proxy_0.95,0.62,ideo7,1
proxy_0.95,0.62,V201141x,4
proxy_0.95,0.63,immigrant_citizenship,9
proxy_0.95,0.63,pff_dt,31
proxy_0.95,0.63,abortion,1
proxy_0.95,0.63,V201129x,1
proxy_0.95,0.63,V201141x,6
proxy_0.95,0.63,immigrant_deport,1
proxy_0.95,0.63,ideo7,1
proxy_0.95,0.64,pff_dt,29
proxy_0.95,0.64,V201141x,5
proxy_0.95,0.64,ideo7,2
proxy_0.95,0.64,immigrant_citizenship,13
proxy_0.95,0.64,V201426x,1
proxy_0.95,0.65,pff_dt,34
proxy_0.95,0.65,V201154,1
proxy_0.95,0.65,auth_grid_3,1
proxy_0.95,0.65,V201141x,2
proxy_0.95,0.65,immigrant_citizenship,10
proxy_0.95,0.65,V201239,1
proxy_0.95,0.65,V201241,1
proxy_0.95,0.66,immigrant_citizenship,21
proxy_0.95,0.66,pff_dt,18
proxy_0.95,0.66,V201141x,6
proxy_0.95,0.66,V201129x,1
proxy_0.95,0.66,V201213,1
proxy_0.95,0.66,V201429,2
proxy_0.95,0.66,V201154,1
proxy_0.95,0.67,auth_grid_3,1
proxy_0.95,0.67,immigrant_citizenship,11
proxy_0.95,0.67,pff_dt,24
proxy_0.95,0.67,V201141x,10
proxy_0.95,0.67,V201129x,1
proxy_0.95,0.67,immigrant_deport,2
proxy_0.95,0.67,auth_grid_2,1
proxy_0.95,0.68,pff_dt,18
proxy_0.95,0.68,V201141x,8
proxy_0.95,0.68,V201129x,3
proxy_0.95,0.68,immigrant_citizenship,18
proxy_0.95,0.68,auth_grid_2,1
proxy_0.95,0.68,immigrant_deport,1
proxy_0.95,0.68,abortion,1
proxy_0.95,0.69,pff_dt,18
proxy_0.95,0.69,immigrant_citizenship,9
proxy_0.95,0.69,V201141x,18
proxy_0.95,0.69,V201239,1
proxy_0.95,0.69,V201213,1
proxy_0.95,0.69,V201429,1
proxy_0.95,0.69,abortion,1
proxy_0.95,0.69,immigrant_deport,1
proxy_0.95,0.7,V201129x,3
proxy_0.95,0.7,V201141x,10
proxy_0.95,0.7,V201426x,1
proxy_0.95,0.7,immigrant_citizenship,14
proxy_0.95,0.7,pff_dt,15
proxy_0.95,0.7,V201252,1
proxy_0.95,0.7,V201213,2
proxy_0.95,0.7,abortion,2
proxy_0.95,0.7,immigrant_deport,1
proxy_0.95,0.7,V201429,1
proxy_0.95,0.71,immigrant_citizenship,14
proxy_0.95,0.71,V201129x,4
proxy_0.95,0.71,pff_dt,10
proxy_0.95,0.71,V201141x,15
proxy_0.95,0.71,V201135x,1
proxy_0.95,0.71,auth_grid_3,1
proxy_0.95,0.71,abortion,1
proxy_0.95,0.71,V201339,1
proxy_0.95,0.71,V201127,1
proxy_0.95,0.71,V201429,1
proxy_0.95,0.71,auth_grid_1,1
proxy_0.95,0.72,auth_grid_3,1
proxy_0.95,0.72,immigrant_deport,7
proxy_0.95,0.72,V201127,2
proxy_0.95,0.72,V201129x,5
proxy_0.95,0.72,pff_dt,3
proxy_0.95,0.72,abortion,4
proxy_0.95,0.72,immigrant_citizenship,11
proxy_0.95,0.72,V201507x,1
proxy_0.95,0.72,V201141x,7
proxy_0.95,0.72,V201429,4
proxy_0.95,0.72,V201314x,1
proxy_0.95,0.72,V201246,2
proxy_0.95,0.72,V201420x,1
proxy_0.95,0.72,V201112,1
proxy_0.95,0.73,immigrant_citizenship,9
proxy_0.95,0.73,V201246,1
proxy_0.95,0.73,V201420x,3
proxy_0.95,0.73,V201132x,1
proxy_0.95,0.73,immigrant_deport,2
proxy_0.95,0.73,V201141x,16
proxy_0.95,0.73,V201387,2
proxy_0.95,0.73,V201129x,2
proxy_0.95,0.73,auth_grid_3,1
proxy_0.95,0.73,V201401,1
proxy_0.95,0.73,V201417,1
proxy_0.95,0.73,V201403,1
proxy_0.95,0.73,V201339,2
proxy_0.95,0.73,V201422,1
proxy_0.95,0.73,pff_dt,1
proxy_0.95,0.73,V201423x,1
proxy_0.95,0.73,V201429,2
proxy_0.95,0.73,V201164,1
proxy_0.95,0.73,V201524,1
proxy_0.95,0.73,V201426x,1
proxy_0.95,0.74,V201387,1
proxy_0.95,0.74,immigrant_citizenship,15
proxy_0.95,0.74,V201429,2
proxy_0.95,0.74,V201307,1
proxy_0.95,0.74,V201131,2
proxy_0.95,0.74,V201401,3
proxy_0.95,0.74,V201628,1
proxy_0.95,0.74,V201339,1
proxy_0.95,0.74,V201345x,1
